ID	SRR14062898	SRR14062899	SRR14062940	SRR14062947
hsa-let-7a-5p	2191	10387	6671	5634
hsa-let-7a-3p	80	37	85	65
hsa-let-7a-2-3p	0	0	0	0
hsa-let-7b-5p	608	1206	243	688
hsa-let-7b-3p	56	32	57	69
hsa-let-7c-5p	26	90	66	56
hsa-let-7c-3p	0	0	0	0
hsa-let-7d-5p	282	1316	912	751
hsa-let-7d-3p	190	116	452	121
hsa-let-7e-5p	2	5	4	4
hsa-let-7e-3p	1	0	0	0
hsa-let-7f-5p	1437	14826	7203	5210
hsa-let-7f-1-3p	26	14	46	20
hsa-let-7f-2-3p	32	9	59	29
hsa-miR-15a-5p	1097	8040	4423	3931
hsa-miR-15a-3p	4	3	1	1
hsa-miR-16-5p	19949	97460	100255	68213
hsa-miR-16-1-3p	3	4	2	0
hsa-miR-17-5p	189	671	271	273
hsa-miR-17-3p	122	176	312	142
hsa-miR-18a-5p	26	183	48	60
hsa-miR-18a-3p	223	292	423	241
hsa-miR-19a-5p	1	2	1	0
hsa-miR-19a-3p	900	1202	621	410
hsa-miR-19b-1-5p	0	0	0	0
hsa-miR-19b-3p	10216	7984	5818	4973
hsa-miR-19b-2-5p	0	0	0	0
hsa-miR-20a-5p	41	472	103	142
hsa-miR-20a-3p	0	1	1	0
hsa-miR-21-5p	630	2907	1481	1501
hsa-miR-21-3p	130	197	196	112
hsa-miR-22-5p	17	35	36	30
hsa-miR-22-3p	55824	71546	160801	73913
hsa-miR-23a-5p	0	0	0	0
hsa-miR-23a-3p	303	198	564	185
hsa-miR-24-1-5p	0	0	0	0
hsa-miR-24-3p	49	48	130	84
hsa-miR-24-2-5p	2	0	1	0
hsa-miR-25-5p	2	0	1	2
hsa-miR-25-3p	42267	43068	65528	44032
hsa-miR-26a-5p	10725	13542	30006	18279
hsa-miR-26a-1-3p	0	2	3	0
hsa-miR-26b-5p	433	2520	2728	1935
hsa-miR-26b-3p	76	59	141	148
hsa-miR-27a-5p	1	0	0	0
hsa-miR-27a-3p	172	190	394	137
hsa-miR-28-5p	41	55	116	85
hsa-miR-28-3p	211	254	611	382
hsa-miR-29a-5p	0	0	0	1
hsa-miR-29a-3p	58	100	156	136
hsa-miR-30a-5p	29	107	24	247
hsa-miR-30a-3p	6	4	8	7
hsa-miR-31-5p	0	0	0	0
hsa-miR-31-3p	0	0	0	0
hsa-miR-32-5p	3	121	98	68
hsa-miR-32-3p	0	0	0	0
hsa-miR-33a-5p	0	0	1	0
hsa-miR-33a-3p	4	1	3	2
hsa-miR-92a-1-5p	0	1	1	0
hsa-miR-92a-3p	136088	199920	253199	260173
hsa-miR-92a-2-5p	0	0	0	0
hsa-miR-93-5p	2460	10223	3981	3879
hsa-miR-93-3p	19	25	46	30
hsa-miR-95-5p	0	0	0	0
hsa-miR-95-3p	0	0	0	0
hsa-miR-96-5p	219	936	199	52
hsa-miR-96-3p	0	0	0	0
hsa-miR-98-5p	49	358	319	203
hsa-miR-98-3p	17	4	21	11
hsa-miR-99a-5p	29	18	33	29
hsa-miR-99a-3p	0	0	0	1
hsa-miR-100-5p	192	289	298	909
hsa-miR-100-3p	0	0	0	0
hsa-miR-101-5p	1	2	3	1
hsa-miR-101-3p	343	2087	1018	533
hsa-miR-29b-1-5p	0	0	0	0
hsa-miR-29b-3p	19	17	51	27
hsa-miR-29b-2-5p	0	1	1	0
hsa-miR-103a-2-5p	1	2	3	1
hsa-miR-103a-3p	2348	7056	3974	3995
hsa-miR-103a-1-5p	0	0	1	2
